,Province/State,Country/Region,Date,Lat,Long,Confirmed,Deaths,Recovered,MonthYear,Continent
269,Alaska,US,2020-01-31,61.3707,-152.4044,0,0,0,Jan-2020,
270,Alaska,US,2020-02-01,61.3707,-152.4044,0,0,0,Feb-2020,
271,Alaska,US,2020-02-02,61.3707,-152.4044,0,0,0,Feb-2020,
272,Alaska,US,2020-02-03,61.3707,-152.4044,0,0,0,Feb-2020,
273,Alaska,US,2020-02-04,61.3707,-152.4044,0,0,0,Feb-2020,
274,Alaska,US,2020-02-05,61.3707,-152.4044,0,0,0,Feb-2020,
275,Alaska,US,2020-02-06,61.3707,-152.4044,0,0,0,Feb-2020,
276,Alaska,US,2020-02-07,61.3707,-152.4044,0,0,0,Feb-2020,
277,Alaska,US,2020-02-08,61.3707,-152.4044,0,0,0,Feb-2020,
278,Alaska,US,2020-02-09,61.3707,-152.4044,0,0,0,Feb-2020,
279,Alaska,US,2020-02-10,61.3707,-152.4044,0,0,0,Feb-2020,
280,Alaska,US,2020-02-11,61.3707,-152.4044,0,0,0,Feb-2020,
281,Alaska,US,2020-02-12,61.3707,-152.4044,0,0,0,Feb-2020,
282,Alaska,US,2020-02-13,61.3707,-152.4044,0,0,0,Feb-2020,
283,Alaska,US,2020-02-14,61.3707,-152.4044,0,0,0,Feb-2020,
284,Alaska,US,2020-02-15,61.3707,-152.4044,0,0,0,Feb-2020,
285,Alaska,US,2020-02-16,61.3707,-152.4044,0,0,0,Feb-2020,
286,Alaska,US,2020-02-17,61.3707,-152.4044,0,0,0,Feb-2020,
287,Alaska,US,2020-02-18,61.3707,-152.4044,0,0,0,Feb-2020,
288,Alaska,US,2020-02-19,61.3707,-152.4044,0,0,0,Feb-2020,
289,Alaska,US,2020-02-20,61.3707,-152.4044,0,0,0,Feb-2020,
290,Alaska,US,2020-02-21,61.3707,-152.4044,0,0,0,Feb-2020,
291,Alaska,US,2020-02-22,61.3707,-152.4044,0,0,0,Feb-2020,
292,Alaska,US,2020-02-23,61.3707,-152.4044,0,0,0,Feb-2020,
293,Alaska,US,2020-02-24,61.3707,-152.4044,0,0,0,Feb-2020,
294,Alaska,US,2020-02-25,61.3707,-152.4044,0,0,0,Feb-2020,
295,Alaska,US,2020-02-26,61.3707,-152.4044,0,0,0,Feb-2020,
296,Alaska,US,2020-02-27,61.3707,-152.4044,0,0,0,Feb-2020,
297,Alaska,US,2020-02-28,61.3707,-152.4044,0,0,0,Feb-2020,
298,Alaska,US,2020-02-29,61.3707,-152.4044,0,0,0,Feb-2020,
299,Alaska,US,2020-03-01,61.3707,-152.4044,0,0,0,Mar-2020,
300,Alaska,US,2020-03-02,61.3707,-152.4044,0,0,0,Mar-2020,
301,Alaska,US,2020-03-03,61.3707,-152.4044,0,0,0,Mar-2020,
302,Alaska,US,2020-03-04,61.3707,-152.4044,0,0,0,Mar-2020,
303,Alaska,US,2020-03-05,61.3707,-152.4044,0,0,0,Mar-2020,
304,Alaska,US,2020-03-06,61.3707,-152.4044,0,0,0,Mar-2020,
305,Alaska,US,2020-03-07,61.3707,-152.4044,0,0,0,Mar-2020,
306,Alaska,US,2020-03-08,61.3707,-152.4044,0,0,0,Mar-2020,
307,Alaska,US,2020-03-09,61.3707,-152.4044,0,0,0,Mar-2020,
308,Alaska,US,2020-03-10,61.3707,-152.4044,0,0,0,Mar-2020,
309,Alaska,US,2020-03-11,61.3707,-152.4044,0,0,0,Mar-2020,
310,Alaska,US,2020-03-12,61.3707,-152.4044,0,0,0,Mar-2020,
311,Alaska,US,2020-03-13,61.3707,-152.4044,1,0,0,Mar-2020,
312,Albania,Albania,2020-01-22,41.1533,20.1683,0,0,0,Jan-2020,
313,Albania,Albania,2020-01-23,41.1533,20.1683,0,0,0,Jan-2020,
314,Albania,Albania,2020-01-24,41.1533,20.1683,0,0,0,Jan-2020,
315,Albania,Albania,2020-01-25,41.1533,20.1683,0,0,0,Jan-2020,
